STATION,DATE,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USC00303033,20100101,28.1,12.1,34.2,22.1,10.3,6.4,11,10.4
GHCND:USC00303033,20100102,28,12.2,34.1,21.9,10.3,6.5,11.1,10.5
GHCND:USC00303033,20100103,27.8,12.3,34,21.7,10.4,6.5,11.1,10.6
GHCND:USC00303033,20100104,27.7,12.3,33.9,21.6,10.5,6.5,11.2,10.6
GHCND:USC00303033,20100105,27.6,12.4,33.8,21.4,10.5,6.5,11.3,10.7
GHCND:USC00303033,20100106,27.5,12.4,33.7,21.3,10.6,6.5,11.3,10.8
GHCND:USC00303033,20100107,27.4,12.5,33.6,21.1,10.6,6.6,11.4,10.9
GHCND:USC00303033,20100108,27.3,12.6,33.6,21,10.7,6.6,11.4,10.9
GHCND:USC00303033,20100109,27.2,12.6,33.5,20.9,10.7,6.6,11.4,11
GHCND:USC00303033,20100110,27.1,12.7,33.5,20.8,10.8,6.6,11.4,11
GHCND:USC00303033,20100111,27,12.7,33.4,20.7,10.8,6.6,11.5,11.1
GHCND:USC00303033,20100112,27,12.8,33.4,20.6,10.8,6.7,11.5,11.1
GHCND:USC00303033,20100113,26.9,12.9,33.4,20.5,10.8,6.7,11.4,11.1
GHCND:USC00303033,20100114,26.9,12.9,33.3,20.4,10.8,6.7,11.4,11.2
GHCND:USC00303033,20100115,26.8,13,33.3,20.3,10.8,6.8,11.4,11.2
GHCND:USC00303033,20100116,26.8,13.1,33.3,20.3,10.8,6.8,11.4,11.2
GHCND:USC00303033,20100117,26.8,13.1,33.3,20.2,10.8,6.8,11.4,11.2
GHCND:USC00303033,20100118,26.7,13.2,33.3,20.1,10.8,6.9,11.4,11.2
GHCND:USC00303033,20100119,26.7,13.3,33.4,20.1,10.8,6.9,11.3,11.3
GHCND:USC00303033,20100120,26.7,13.3,33.4,20,10.8,6.9,11.3,11.3
GHCND:USC00303033,20100121,26.7,13.4,33.4,20,10.7,7,11.3,11.3
GHCND:USC00303033,20100122,26.7,13.5,33.4,20,10.7,7,11.3,11.2
GHCND:USC00303033,20100123,26.7,13.6,33.5,19.9,10.7,7,11.3,11.2
GHCND:USC00303033,20100124,26.7,13.6,33.5,19.9,10.6,7.1,11.2,11.2
GHCND:USC00303033,20100125,26.7,13.7,33.6,19.9,10.6,7.1,11.2,11.2
GHCND:USC00303033,20100126,26.7,13.8,33.6,19.9,10.6,7.1,11.1,11.1
GHCND:USC00303033,20100127,26.8,13.9,33.7,19.9,10.5,7.2,11.1,11.1
GHCND:USC00303033,20100128,26.8,13.9,33.8,19.8,10.5,7.2,11.1,11
GHCND:USC00303033,20100129,26.8,14,33.8,19.8,10.4,7.2,11,11
GHCND:USC00303033,20100130,26.9,14.1,33.9,19.9,10.4,7.2,11,10.9
GHCND:USC00303033,20100131,26.9,14.2,34,19.9,10.3,7.2,11,10.9
GHCND:USC00303033,20100201,27,14.2,34.1,19.9,10.3,7.3,11,10.8
GHCND:USC00303033,20100202,27.1,14.3,34.2,19.9,10.2,7.3,10.9,10.8
GHCND:USC00303033,20100203,27.1,14.4,34.3,19.9,10.2,7.3,10.9,10.7
GHCND:USC00303033,20100204,27.2,14.5,34.4,20,10.1,7.3,10.9,10.7
GHCND:USC00303033,20100205,27.3,14.5,34.5,20,10.1,7.3,10.9,10.6
GHCND:USC00303033,20100206,27.4,14.6,34.7,20,10.1,7.4,10.9,10.6
GHCND:USC00303033,20100207,27.4,14.7,34.8,20.1,10.1,7.4,10.9,10.6
GHCND:USC00303033,20100208,27.5,14.8,34.9,20.1,10,7.4,10.9,10.5
GHCND:USC00303033,20100209,27.6,14.9,35.1,20.2,10,7.4,10.9,10.5
GHCND:USC00303033,20100210,27.7,14.9,35.2,20.3,10,7.4,10.9,10.5
GHCND:USC00303033,20100211,27.9,15,35.4,20.3,10,7.4,10.9,10.5
GHCND:USC00303033,20100212,28,15.1,35.5,20.4,10,7.4,11,10.5
GHCND:USC00303033,20100213,28.1,15.2,35.7,20.5,10,7.5,11,10.4
GHCND:USC00303033,20100214,28.2,15.3,35.9,20.6,10,7.5,11,10.4
GHCND:USC00303033,20100215,28.4,15.4,36.1,20.7,10,7.5,11.1,10.4
GHCND:USC00303033,20100216,28.5,15.4,36.3,20.8,10,7.5,11.1,10.4
GHCND:USC00303033,20100217,28.7,15.5,36.5,20.9,10.1,7.6,11.2,10.4
GHCND:USC00303033,20100218,28.9,15.6,36.7,21.1,10.1,7.6,11.2,10.4
GHCND:USC00303033,20100219,29,15.7,36.9,21.2,10.1,7.6,11.3,10.4
GHCND:USC00303033,20100220,29.2,15.7,37.1,21.3,10.1,7.6,11.3,10.4
GHCND:USC00303033,20100221,29.4,15.8,37.3,21.5,10.2,7.6,11.4,10.4
GHCND:USC00303033,20100222,29.6,15.9,37.5,21.6,10.2,7.7,11.4,10.4
GHCND:USC00303033,20100223,29.8,16,37.8,21.8,10.2,7.7,11.5,10.4
GHCND:USC00303033,20100224,30,16,38,22,10.2,7.7,11.6,10.4
GHCND:USC00303033,20100225,30.2,16.1,38.3,22.2,10.3,7.7,11.6,10.4
GHCND:USC00303033,20100226,30.5,16.2,38.5,22.4,10.3,7.8,11.7,10.4
GHCND:USC00303033,20100227,30.7,16.3,38.8,22.6,10.3,7.8,11.7,10.4
GHCND:USC00303033,20100228,30.9,16.3,39.1,22.8,10.4,7.8,11.8,10.4
GHCND:USC00303033,20100301,31.2,16.4,39.4,23,10.4,7.8,11.9,10.4
GHCND:USC00303033,20100302,31.4,16.5,39.7,23.2,10.4,7.8,11.9,10.4
GHCND:USC00303033,20100303,31.7,16.5,40,23.4,10.4,7.9,11.9,10.4
GHCND:USC00303033,20100304,32,16.6,40.3,23.7,10.4,7.9,11.9,10.3
GHCND:USC00303033,20100305,32.3,16.7,40.6,23.9,10.4,7.9,11.9,10.3
GHCND:USC00303033,20100306,32.6,16.7,40.9,24.2,10.4,7.9,12,10.2
GHCND:USC00303033,20100307,32.9,16.8,41.3,24.5,10.4,7.9,12,10.2
GHCND:USC00303033,20100308,33.2,16.9,41.6,24.7,10.4,7.9,12,10.2
GHCND:USC00303033,20100309,33.5,16.9,41.9,25,10.4,7.9,12,10.1
GHCND:USC00303033,20100310,33.8,17,42.3,25.3,10.4,7.9,12,10.1
GHCND:USC00303033,20100311,34.1,17,42.7,25.6,10.4,8,12.1,10
GHCND:USC00303033,20100312,34.5,17.1,43,25.9,10.4,8,12.1,10
GHCND:USC00303033,20100313,34.8,17.2,43.4,26.2,10.4,8,12.1,10
GHCND:USC00303033,20100314,35.2,17.2,43.8,26.5,10.4,8,12.2,9.9
GHCND:USC00303033,20100315,35.5,17.3,44.2,26.9,10.4,8,12.2,9.9
GHCND:USC00303033,20100316,35.9,17.4,44.6,27.2,10.4,8.1,12.3,9.9
GHCND:USC00303033,20100317,36.2,17.4,45,27.5,10.4,8.1,12.3,9.8
GHCND:USC00303033,20100318,36.6,17.5,45.4,27.9,10.4,8.1,12.3,9.8
GHCND:USC00303033,20100319,37,17.6,45.8,28.2,10.4,8.1,12.4,9.7
GHCND:USC00303033,20100320,37.4,17.6,46.2,28.5,10.4,8.1,12.4,9.7
GHCND:USC00303033,20100321,37.8,17.7,46.6,28.9,10.4,8.1,12.4,9.7
GHCND:USC00303033,20100322,38.2,17.8,47,29.3,10.4,8.1,12.4,9.6
GHCND:USC00303033,20100323,38.5,17.9,47.5,29.6,10.3,8.1,12.4,9.5
GHCND:USC00303033,20100324,38.9,17.9,47.9,30,10.3,8.1,12.4,9.5
GHCND:USC00303033,20100325,39.4,18,48.4,30.3,10.3,8.1,12.4,9.4
GHCND:USC00303033,20100326,39.8,18.1,48.8,30.7,10.2,8.1,12.4,9.3
GHCND:USC00303033,20100327,40.2,18.2,49.3,31.1,10.2,8.1,12.4,9.3
GHCND:USC00303033,20100328,40.6,18.2,49.7,31.5,10.1,8,12.3,9.2
GHCND:USC00303033,20100329,41,18.3,50.2,31.8,10.1,8,12.3,9.2
GHCND:USC00303033,20100330,41.4,18.4,50.6,32.2,10.1,8,12.3,9.1
GHCND:USC00303033,20100331,41.8,18.5,51.1,32.6,10,8,12.3,9.1
GHCND:USC00303033,20100401,42.2,18.6,51.5,33,10,8,12.2,9
GHCND:USC00303033,20100402,42.7,18.7,52,33.3,10,8,12.2,9
GHCND:USC00303033,20100403,43.1,18.8,52.5,33.7,10,7.9,12.2,9
GHCND:USC00303033,20100404,43.5,18.8,52.9,34.1,9.9,7.9,12.2,9
GHCND:USC00303033,20100405,43.9,18.9,53.4,34.5,9.9,7.9,12.1,9
GHCND:USC00303033,20100406,44.3,19,53.8,34.8,9.9,7.9,12.1,8.9
GHCND:USC00303033,20100407,44.8,19.1,54.3,35.2,9.9,7.9,12.1,8.9
GHCND:USC00303033,20100408,45.2,19.2,54.8,35.6,9.9,7.8,12,8.9
GHCND:USC00303033,20100409,45.6,19.3,55.2,35.9,9.8,7.8,12,8.9
GHCND:USC00303033,20100410,46,19.4,55.7,36.3,9.8,7.8,12,8.9
GHCND:USC00303033,20100411,46.4,19.4,56.1,36.7,9.8,7.7,11.9,8.9
GHCND:USC00303033,20100412,46.8,19.5,56.6,37,9.7,7.7,11.8,8.9
GHCND:USC00303033,20100413,47.2,19.6,57,37.4,9.7,7.6,11.8,8.9
GHCND:USC00303033,20100414,47.6,19.7,57.4,37.8,9.6,7.6,11.7,8.9
GHCND:USC00303033,20100415,48,19.8,57.9,38.1,9.6,7.5,11.6,8.8
GHCND:USC00303033,20100416,48.4,19.8,58.3,38.5,9.5,7.5,11.4,8.8
GHCND:USC00303033,20100417,48.8,19.9,58.7,38.8,9.4,7.4,11.3,8.8
GHCND:USC00303033,20100418,49.1,20,59.1,39.2,9.3,7.4,11.2,8.7
GHCND:USC00303033,20100419,49.5,20,59.5,39.5,9.3,7.3,11.1,8.7
GHCND:USC00303033,20100420,49.9,20.1,59.9,39.8,9.2,7.2,10.9,8.7
GHCND:USC00303033,20100421,50.3,20.2,60.3,40.2,9.1,7.2,10.8,8.7
GHCND:USC00303033,20100422,50.6,20.2,60.7,40.5,9.1,7.1,10.7,8.6
GHCND:USC00303033,20100423,51,20.3,61.1,40.9,9,7.1,10.6,8.6
GHCND:USC00303033,20100424,51.3,20.3,61.5,41.2,9,7,10.5,8.6
GHCND:USC00303033,20100425,51.7,20.3,61.9,41.5,8.9,7,10.4,8.6
GHCND:USC00303033,20100426,52,20.4,62.2,41.9,8.8,6.9,10.3,8.6
GHCND:USC00303033,20100427,52.4,20.4,62.6,42.2,8.8,6.9,10.3,8.6
GHCND:USC00303033,20100428,52.7,20.4,62.9,42.5,8.7,6.8,10.2,8.5
GHCND:USC00303033,20100429,53.1,20.4,63.3,42.8,8.7,6.8,10.1,8.5
GHCND:USC00303033,20100430,53.4,20.5,63.6,43.2,8.7,6.8,10,8.5
GHCND:USC00303033,20100501,53.7,20.5,63.9,43.5,8.6,6.8,10,8.5
GHCND:USC00303033,20100502,54,20.5,64.3,43.8,8.6,6.7,9.9,8.5
GHCND:USC00303033,20100503,54.4,20.5,64.6,44.1,8.6,6.7,9.9,8.5
GHCND:USC00303033,20100504,54.7,20.5,64.9,44.5,8.5,6.7,9.8,8.5
GHCND:USC00303033,20100505,55,20.4,65.2,44.8,8.5,6.6,9.8,8.4
GHCND:USC00303033,20100506,55.3,20.4,65.5,45.1,8.4,6.6,9.7,8.4
GHCND:USC00303033,20100507,55.6,20.4,65.8,45.4,8.4,6.6,9.6,8.4
GHCND:USC00303033,20100508,55.9,20.4,66.1,45.7,8.4,6.5,9.5,8.4
GHCND:USC00303033,20100509,56.2,20.4,66.4,46.1,8.3,6.5,9.5,8.3
GHCND:USC00303033,20100510,56.5,20.3,66.7,46.4,8.3,6.5,9.4,8.3
GHCND:USC00303033,20100511,56.9,20.3,67,46.7,8.2,6.5,9.3,8.3
GHCND:USC00303033,20100512,57.2,20.2,67.3,47,8.2,6.4,9.3,8.3
GHCND:USC00303033,20100513,57.5,20.2,67.6,47.4,8.2,6.4,9.2,8.3
GHCND:USC00303033,20100514,57.8,20.2,67.8,47.7,8.1,6.4,9.2,8.3
GHCND:USC00303033,20100515,58.1,20.1,68.1,48,8.1,6.4,9.1,8.2
GHCND:USC00303033,20100516,58.4,20.1,68.4,48.4,8.1,6.3,9.1,8.2
GHCND:USC00303033,20100517,58.7,20,68.7,48.7,8,6.3,9,8.2
GHCND:USC00303033,20100518,59,20,69,49,8,6.3,8.9,8.2
GHCND:USC00303033,20100519,59.3,19.9,69.3,49.4,8,6.3,8.9,8.2
GHCND:USC00303033,20100520,59.6,19.9,69.5,49.7,7.9,6.2,8.8,8.2
GHCND:USC00303033,20100521,59.9,19.8,69.8,50,7.9,6.2,8.7,8.2
GHCND:USC00303033,20100522,60.2,19.7,70.1,50.4,7.9,6.2,8.7,8.2
GHCND:USC00303033,20100523,60.6,19.7,70.4,50.7,7.9,6.2,8.6,8.2
GHCND:USC00303033,20100524,60.9,19.6,70.7,51,7.8,6.2,8.5,8.2
GHCND:USC00303033,20100525,61.2,19.6,71,51.4,7.8,6.1,8.5,8.2
GHCND:USC00303033,20100526,61.5,19.5,71.3,51.7,7.7,6.1,8.4,8.2
GHCND:USC00303033,20100527,61.8,19.5,71.6,52.1,7.7,6.1,8.3,8.2
GHCND:USC00303033,20100528,62.1,19.4,71.9,52.4,7.6,6.1,8.2,8.1
GHCND:USC00303033,20100529,62.5,19.4,72.2,52.8,7.6,6,8.1,8.1
GHCND:USC00303033,20100530,62.8,19.4,72.5,53.1,7.5,6,8,8.1
GHCND:USC00303033,20100531,63.1,19.3,72.8,53.5,7.5,6,8,8.1
GHCND:USC00303033,20100601,63.4,19.3,73.1,53.8,7.4,5.9,7.9,8
GHCND:USC00303033,20100602,63.8,19.2,73.4,54.1,7.4,5.9,7.8,8
GHCND:USC00303033,20100603,64.1,19.2,73.7,54.5,7.3,5.9,7.7,7.9
GHCND:USC00303033,20100604,64.4,19.2,74,54.8,7.2,5.8,7.7,7.9
GHCND:USC00303033,20100605,64.7,19.1,74.3,55.2,7.2,5.8,7.6,7.8
GHCND:USC00303033,20100606,65.1,19.1,74.6,55.5,7.2,5.8,7.6,7.8
GHCND:USC00303033,20100607,65.4,19.1,74.9,55.8,7.1,5.7,7.5,7.7
GHCND:USC00303033,20100608,65.7,19.1,75.2,56.2,7,5.7,7.4,7.7
GHCND:USC00303033,20100609,66,19,75.5,56.5,7,5.7,7.4,7.6
GHCND:USC00303033,20100610,66.3,19,75.8,56.8,6.9,5.6,7.3,7.6
GHCND:USC00303033,20100611,66.6,19,76.1,57.1,6.9,5.6,7.3,7.5
GHCND:USC00303033,20100612,66.9,19,76.4,57.4,6.8,5.6,7.2,7.5
GHCND:USC00303033,20100613,67.2,18.9,76.7,57.7,6.8,5.5,7.2,7.4
GHCND:USC00303033,20100614,67.5,18.9,76.9,58,6.7,5.5,7.1,7.4
GHCND:USC00303033,20100615,67.8,18.9,77.2,58.3,6.7,5.5,7.1,7.3
GHCND:USC00303033,20100616,68,18.9,77.5,58.6,6.6,5.4,7,7.3
GHCND:USC00303033,20100617,68.3,18.9,77.7,58.9,6.6,5.4,7,7.2
GHCND:USC00303033,20100618,68.6,18.9,78,59.1,6.5,5.4,6.9,7.1
GHCND:USC00303033,20100619,68.8,18.8,78.2,59.4,6.5,5.4,6.8,7.1
GHCND:USC00303033,20100620,69.1,18.8,78.5,59.7,6.4,5.3,6.8,7
GHCND:USC00303033,20100621,69.3,18.8,78.7,59.9,6.3,5.3,6.7,7
GHCND:USC00303033,20100622,69.5,18.8,78.9,60.1,6.3,5.3,6.7,6.9
GHCND:USC00303033,20100623,69.7,18.7,79.1,60.4,6.2,5.2,6.6,6.9
GHCND:USC00303033,20100624,69.9,18.7,79.3,60.6,6.2,5.2,6.6,6.8
GHCND:USC00303033,20100625,70.1,18.7,79.5,60.8,6.1,5.2,6.5,6.8
GHCND:USC00303033,20100626,70.3,18.7,79.7,61,6.1,5.2,6.5,6.7
GHCND:USC00303033,20100627,70.5,18.6,79.8,61.2,6,5.1,6.4,6.7
GHCND:USC00303033,20100628,70.7,18.6,80,61.4,6,5.1,6.3,6.6
GHCND:USC00303033,20100629,70.8,18.6,80.1,61.5,5.9,5.1,6.3,6.6
GHCND:USC00303033,20100630,71,18.5,80.2,61.7,5.9,5,6.2,6.6
GHCND:USC00303033,20100701,71.1,18.5,80.3,61.8,5.8,5,6.1,6.5
GHCND:USC00303033,20100702,71.2,18.4,80.4,62,5.8,5,6.1,6.5
GHCND:USC00303033,20100703,71.3,18.4,80.5,62.1,5.7,5,6,6.5
GHCND:USC00303033,20100704,71.4,18.3,80.6,62.2,5.7,5,5.9,6.4
GHCND:USC00303033,20100705,71.5,18.3,80.7,62.4,5.6,4.9,5.8,6.4
GHCND:USC00303033,20100706,71.6,18.2,80.7,62.5,5.6,4.9,5.8,6.4
GHCND:USC00303033,20100707,71.6,18.2,80.7,62.5,5.5,4.9,5.7,6.4
GHCND:USC00303033,20100708,71.7,18.1,80.8,62.6,5.5,4.9,5.6,6.3
GHCND:USC00303033,20100709,71.8,18.1,80.8,62.7,5.4,4.9,5.6,6.3
GHCND:USC00303033,20100710,71.8,18,80.8,62.8,5.4,4.9,5.5,6.3
GHCND:USC00303033,20100711,71.8,18,80.8,62.8,5.4,4.8,5.5,6.2
GHCND:USC00303033,20100712,71.8,17.9,80.8,62.9,5.3,4.8,5.4,6.2
GHCND:USC00303033,20100713,71.9,17.8,80.8,62.9,5.3,4.8,5.4,6.2
GHCND:USC00303033,20100714,71.9,17.8,80.8,63,5.2,4.8,5.3,6.2
GHCND:USC00303033,20100715,71.9,17.7,80.7,63,5.2,4.8,5.3,6.1
GHCND:USC00303033,20100716,71.9,17.7,80.7,63,5.2,4.8,5.3,6.1
GHCND:USC00303033,20100717,71.9,17.6,80.7,63.1,5.1,4.8,5.2,6
GHCND:USC00303033,20100718,71.8,17.6,80.6,63.1,5.1,4.8,5.2,6
GHCND:USC00303033,20100719,71.8,17.5,80.6,63.1,5.1,4.8,5.2,6
GHCND:USC00303033,20100720,71.8,17.4,80.5,63.1,5.1,4.7,5.2,6
GHCND:USC00303033,20100721,71.8,17.4,80.5,63.1,5,4.7,5.1,5.9
GHCND:USC00303033,20100722,71.7,17.3,80.4,63.1,5,4.7,5.1,5.9
GHCND:USC00303033,20100723,71.7,17.3,80.4,63.1,5,4.7,5.1,5.9
GHCND:USC00303033,20100724,71.7,17.2,80.3,63.1,5,4.7,5.1,5.9
GHCND:USC00303033,20100725,71.6,17.2,80.2,63,5,4.7,5.1,5.9
GHCND:USC00303033,20100726,71.6,17.2,80.2,63,5,4.6,5.1,5.9
GHCND:USC00303033,20100727,71.6,17.1,80.1,63,5,4.6,5,5.8
GHCND:USC00303033,20100728,71.5,17.1,80.1,63,4.9,4.6,5,5.8
GHCND:USC00303033,20100729,71.5,17.1,80,63,4.9,4.6,5,5.8
GHCND:USC00303033,20100730,71.4,17.1,80,62.9,5,4.6,5,5.8
GHCND:USC00303033,20100731,71.4,17,79.9,62.9,5,4.6,5,5.8
GHCND:USC00303033,20100801,71.4,17,79.9,62.9,5,4.6,5.1,5.8
GHCND:USC00303033,20100802,71.3,17,79.8,62.8,5,4.6,5.1,5.9
GHCND:USC00303033,20100803,71.3,17,79.8,62.8,5,4.6,5.1,5.9
GHCND:USC00303033,20100804,71.2,17,79.7,62.7,5,4.6,5.1,5.9
GHCND:USC00303033,20100805,71.2,17,79.7,62.7,5,4.6,5.1,5.9
GHCND:USC00303033,20100806,71.2,17,79.7,62.6,5,4.7,5.1,5.9
GHCND:USC00303033,20100807,71.1,17,79.6,62.6,5,4.7,5.1,5.9
GHCND:USC00303033,20100808,71.1,17,79.6,62.5,5,4.7,5.1,5.9
GHCND:USC00303033,20100809,71,17.1,79.6,62.5,5,4.7,5.1,5.9
GHCND:USC00303033,20100810,71,17.1,79.5,62.4,5,4.7,5.1,6
GHCND:USC00303033,20100811,70.9,17.1,79.5,62.4,5.1,4.7,5.2,6
GHCND:USC00303033,20100812,70.9,17.1,79.4,62.3,5.1,4.8,5.2,6
GHCND:USC00303033,20100813,70.8,17.2,79.4,62.2,5.1,4.8,5.2,6
GHCND:USC00303033,20100814,70.8,17.2,79.4,62.2,5.1,4.8,5.2,6
GHCND:USC00303033,20100815,70.7,17.2,79.3,62.1,5.1,4.8,5.2,6
GHCND:USC00303033,20100816,70.6,17.3,79.3,62,5.1,4.8,5.3,6.1
GHCND:USC00303033,20100817,70.6,17.3,79.2,61.9,5.2,4.9,5.3,6.1
GHCND:USC00303033,20100818,70.5,17.3,79.2,61.8,5.2,4.9,5.3,6.1
GHCND:USC00303033,20100819,70.4,17.4,79.1,61.7,5.2,4.9,5.3,6.2
GHCND:USC00303033,20100820,70.3,17.4,79,61.6,5.3,4.9,5.4,6.2
GHCND:USC00303033,20100821,70.2,17.4,79,61.5,5.3,5,5.4,6.2
GHCND:USC00303033,20100822,70.1,17.5,78.9,61.4,5.3,5,5.5,6.3
GHCND:USC00303033,20100823,70,17.5,78.8,61.3,5.3,5,5.5,6.3
GHCND:USC00303033,20100824,69.9,17.5,78.7,61.1,5.4,5,5.5,6.3
GHCND:USC00303033,20100825,69.8,17.6,78.6,61,5.4,5.1,5.6,6.4
GHCND:USC00303033,20100826,69.7,17.6,78.5,60.8,5.5,5.1,5.6,6.4
GHCND:USC00303033,20100827,69.5,17.6,78.3,60.7,5.5,5.2,5.7,6.4
GHCND:USC00303033,20100828,69.4,17.7,78.2,60.5,5.5,5.2,5.7,6.5
GHCND:USC00303033,20100829,69.2,17.7,78,60.3,5.6,5.2,5.8,6.5
GHCND:USC00303033,20100830,69,17.7,77.9,60.2,5.6,5.3,5.9,6.6
GHCND:USC00303033,20100831,68.8,17.7,77.7,60,5.7,5.3,5.9,6.6
GHCND:USC00303033,20100901,68.6,17.7,77.5,59.8,5.7,5.3,6,6.7
GHCND:USC00303033,20100902,68.4,17.8,77.3,59.5,5.8,5.4,6,6.7
GHCND:USC00303033,20100903,68.2,17.8,77.1,59.3,5.8,5.4,6.1,6.8
GHCND:USC00303033,20100904,68,17.8,76.8,59.1,5.9,5.5,6.2,6.8
GHCND:USC00303033,20100905,67.7,17.8,76.6,58.8,6,5.5,6.3,6.9
GHCND:USC00303033,20100906,67.5,17.8,76.3,58.6,6,5.5,6.4,6.9
GHCND:USC00303033,20100907,67.2,17.8,76.1,58.3,6.1,5.6,6.4,7
GHCND:USC00303033,20100908,66.9,17.7,75.8,58,6.2,5.6,6.5,7
GHCND:USC00303033,20100909,66.6,17.7,75.5,57.8,6.2,5.6,6.6,7.1
GHCND:USC00303033,20100910,66.3,17.7,75.2,57.5,6.3,5.7,6.7,7.1
GHCND:USC00303033,20100911,66,17.7,74.9,57.2,6.3,5.7,6.8,7.2
GHCND:USC00303033,20100912,65.7,17.7,74.5,56.9,6.4,5.7,6.9,7.2
GHCND:USC00303033,20100913,65.4,17.7,74.2,56.5,6.5,5.8,6.9,7.3
GHCND:USC00303033,20100914,65,17.6,73.8,56.2,6.6,5.8,7,7.3
GHCND:USC00303033,20100915,64.7,17.6,73.5,55.9,6.6,5.9,7.1,7.4
GHCND:USC00303033,20100916,64.3,17.6,73.1,55.6,6.7,5.9,7.2,7.4
GHCND:USC00303033,20100917,64,17.5,72.7,55.2,6.8,6,7.3,7.5
GHCND:USC00303033,20100918,63.6,17.5,72.4,54.9,6.8,6,7.4,7.5
GHCND:USC00303033,20100919,63.2,17.4,72,54.5,6.9,6.1,7.5,7.6
GHCND:USC00303033,20100920,62.9,17.4,71.6,54.2,7,6.1,7.6,7.6
GHCND:USC00303033,20100921,62.5,17.4,71.2,53.8,7,6.1,7.7,7.7
GHCND:USC00303033,20100922,62.1,17.3,70.8,53.4,7.1,6.2,7.8,7.7
GHCND:USC00303033,20100923,61.7,17.3,70.3,53.1,7.2,6.2,7.9,7.8
GHCND:USC00303033,20100924,61.3,17.2,69.9,52.7,7.2,6.3,8,7.8
GHCND:USC00303033,20100925,60.9,17.2,69.5,52.3,7.3,6.3,8.1,7.8
GHCND:USC00303033,20100926,60.5,17.2,69.1,51.9,7.3,6.3,8.1,7.9
GHCND:USC00303033,20100927,60.1,17.1,68.7,51.6,7.4,6.4,8.2,7.9
GHCND:USC00303033,20100928,59.7,17.1,68.3,51.2,7.4,6.4,8.3,7.9
GHCND:USC00303033,20100929,59.3,17,67.9,50.8,7.5,6.5,8.4,7.9
GHCND:USC00303033,20100930,59,17,67.5,50.5,7.5,6.5,8.4,7.9
GHCND:USC00303033,20101001,58.6,17,67,50.1,7.5,6.5,8.5,8
GHCND:USC00303033,20101002,58.2,16.9,66.6,49.7,7.5,6.6,8.5,8
GHCND:USC00303033,20101003,57.8,16.9,66.2,49.4,7.6,6.6,8.6,8
GHCND:USC00303033,20101004,57.4,16.8,65.8,49,7.6,6.7,8.6,8
GHCND:USC00303033,20101005,57,16.8,65.4,48.6,7.6,6.7,8.7,8
GHCND:USC00303033,20101006,56.7,16.8,65.1,48.3,7.6,6.7,8.7,8
GHCND:USC00303033,20101007,56.3,16.7,64.7,47.9,7.6,6.7,8.8,7.9
GHCND:USC00303033,20101008,55.9,16.7,64.3,47.6,7.6,6.8,8.8,7.9
GHCND:USC00303033,20101009,55.6,16.7,63.9,47.3,7.6,6.8,8.9,7.9
GHCND:USC00303033,20101010,55.2,16.6,63.6,46.9,7.7,6.8,8.9,7.9
GHCND:USC00303033,20101011,54.9,16.6,63.2,46.6,7.7,6.9,8.9,7.9
GHCND:USC00303033,20101012,54.6,16.6,62.8,46.3,7.7,6.9,9,7.9
GHCND:USC00303033,20101013,54.2,16.5,62.5,45.9,7.7,6.9,9,7.9
GHCND:USC00303033,20101014,53.9,16.5,62.1,45.6,7.7,6.9,9,7.9
GHCND:USC00303033,20101015,53.6,16.5,61.8,45.3,7.7,6.9,9.1,7.8
GHCND:USC00303033,20101016,53.2,16.4,61.5,45,7.7,7,9.1,7.8
GHCND:USC00303033,20101017,52.9,16.4,61.1,44.7,7.7,7,9.1,7.8
GHCND:USC00303033,20101018,52.6,16.4,60.8,44.4,7.7,7,9.1,7.8
GHCND:USC00303033,20101019,52.3,16.3,60.5,44.1,7.7,7,9.2,7.8
GHCND:USC00303033,20101020,52,16.3,60.1,43.9,7.7,7,9.2,7.8
GHCND:USC00303033,20101021,51.7,16.3,59.8,43.6,7.7,7,9.2,7.8
GHCND:USC00303033,20101022,51.4,16.2,59.5,43.3,7.7,7,9.2,7.7
GHCND:USC00303033,20101023,51.1,16.2,59.2,43,7.7,7,9.2,7.7
GHCND:USC00303033,20101024,50.8,16.1,58.9,42.8,7.7,7,9.3,7.7
GHCND:USC00303033,20101025,50.5,16.1,58.5,42.5,7.8,7,9.3,7.7
GHCND:USC00303033,20101026,50.2,16,58.2,42.2,7.8,7,9.3,7.7
GHCND:USC00303033,20101027,49.9,16,57.9,42,7.8,7,9.4,7.7
GHCND:USC00303033,20101028,49.6,15.9,57.6,41.7,7.8,7,9.4,7.7
GHCND:USC00303033,20101029,49.3,15.8,57.3,41.4,7.9,7,9.4,7.7
GHCND:USC00303033,20101030,49,15.8,56.9,41.2,7.9,7,9.5,7.7
GHCND:USC00303033,20101031,48.8,15.7,56.6,40.9,7.9,7,9.5,7.8
GHCND:USC00303033,20101101,48.5,15.6,56.3,40.6,8,7,9.6,7.8
GHCND:USC00303033,20101102,48.2,15.5,55.9,40.4,8,7,9.6,7.8
GHCND:USC00303033,20101103,47.8,15.4,55.6,40.1,8.1,7,9.7,7.8
